date,open,high,low,close,volume
20191227,55700,56900,55500,56500,12313056
20191226,54700,55400,54400,55400,9645034
20191224,55600,55700,54800,55000,11868463
20191223,56100,56400,55100,55500,9839252
20191220,56100,56500,55600,56000,12095519
20191219,57000,57300,55500,56000,14180520
20191218,56700,57200,56000,56300,15558208
20191217,55800,56700,55400,56700,19358433
20191216,54500,54900,54300,54700,11512405
20191213,54500,54800,53900,54700,18120261
20191212,53000,53300,52700,53300,29178697
20191211,51500,52200,51400,51900,11379521
20191210,51000,51600,50700,51500,6882771
20191209,50900,51400,50700,51200,8470627
20191206,50100,50900,49950,50400,11414563
20191205,50200,50400,49500,49500,10449715
20191204,49600,49850,49000,49450,13246549
20191203,49800,50300,49500,49900,12059812
20191202,50900,51300,50400,50400,18877252
20191129,51200,51400,50200,50300,11179334
20191128,51900,52100,51300,51300,6833885
20191127,51800,52300,51600,52200,7546261
20191126,51900,52900,51800,51800,27372226
20191125,52200,52600,51700,51800,9050625
20191122,51000,51600,50900,51600,8478310
20191121,51600,52100,50600,51000,14298646
20191120,53400,53400,52000,52000,12560070
20191119,53200,53500,52700,53500,8907177
20191118,53600,53800,53200,53500,7746554
20191115,52900,53700,52600,53700,9703360
20191114,51900,52800,51900,52800,12010018
20191113,52500,52500,52000,52500,6225196
20191112,51800,52600,51600,52600,6576148
20191111,52200,52200,51400,51600,8185952
20191108,53200,53300,52000,52100,11603290
20191107,53400,53400,52400,52900,9257116
20191106,52900,53500,52700,53300,14361133
20191105,52400,52700,52100,52700,10581034
20191104,51700,52300,51400,52300,13012411
20191101,50600,51200,50400,51200,8467846
20191031,51000,51400,50300,50400,10304777
20191030,50700,50800,50200,50400,8959435
20191029,51400,51700,50800,51100,7581629
20191028,50700,51500,50700,51300,6431522
20191025,50800,51200,50500,50900,7879897
20191024,52500,52500,50500,50700,21185785
20191023,51300,51500,50800,51200,8663880
20191022,50800,51500,50700,51200,10898729
20191021,49900,50400,49800,50300,4406531
20191018,50300,50900,49650,49900,8483106
20191017,50500,50600,50100,50500,6701380
